date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
2019-07-17,2019,"Sustainable Resilience of the rural Population of the municipalities Petit-Goave, Grand Goave, Leogane, Departement Ouest, Fonds des Negres, Departement Nippes, Haiti Multi year - BMZ - 2019 - 2020 (2020 portion)",2270241,"Germany, Government of",Government,DEU,2019,2019,,,,Arbeiter-Samariter-Bund Deutschland e.V,NGO,,HTI,,,CARIBBEAN - Hurricane Irma - September 2017,2020,2020,financial,Standard,Traditional aid,incoming,single,commitment,2019-07-17,2019-07-17,Multiyear,2075000.0,EUR,0.914,200532,201618396,2019-10-30,2019-10-30
2019-07-17,2019,"Sustainable Resilience of the rural Population of the municipalities Petit-Goave, Grand Goave, Leogane, Departement Ouest, Fonds des Negres, Departement Nippes, Haiti Multi year - BMZ - 2019 - 2020 (2019 portion)",2270241,"Germany, Government of",Government,DEU,2019,2019,,,,Arbeiter-Samariter-Bund Deutschland e.V,NGO,,HTI,,,CARIBBEAN - Hurricane Irma - September 2017,2019,2020,financial,Standard,Traditional aid,incoming,shared,commitment,2019-07-17,2019-07-17,Multiyear,2075000.0,EUR,0.914,200531,201618396,2019-10-30,2019-10-30
2019-05-31,,"Structural Assessment in 2018 Earthquake Affectes Areas, Multiyear 2019-2020, total amount CHF 200,000 (7F-10234.01)",0,"Switzerland, Government of",Government,CHE,2019,2019,,,,International Organization for Migration,UN agency,,HTI,,,,2019,2020,financial,Parked,Traditional aid,incoming,shared,commitment,2019-06-04,,Multiyear,0.0,CHF,1.021,193046,7F-10234.01,2019-06-07,2019-09-19
2019-05-31,,"Structural Assessment in 2018 Earthquake Affectes Areas, Multiyear 2019-2020, 2020 portion, total amount CHF 40,000 (7F-10234.01)",39177,"Switzerland, Government of",Government,CHE,2019,2019,,,,International Organization for Migration,UN agency,Coordination and support services,HTI,,,,2020,2020,financial,Standard,Traditional aid,incoming,single,commitment,2019-06-04,,Multiyear,40000.0,CHF,1.021,193048,7F-10234.01,2019-06-07,2019-06-07
2019-04-30,,"Small-Scale Actions Credit Line: Shelter, NFI and rehabilitation*,Emergency rehabilitation, Multi-year, 2019-2020, total amount CHF 200,000 (7F-05289.06)",0,"Switzerland, Government of",Government,CHE,2019,2019,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Government,,HTI,,,,2019,2020,financial,Parked,Traditional aid,incoming,shared,commitment,2019-05-02,,Multiyear,0.0,CHF,1.003,194646,7F-05289.06,2019-07-01,2019-07-01
2019-04-30,,"Small-Scale Actions Credit Line: Shelter, NFI and rehabilitation*,Emergency rehabilitation, Multi-year, 2019-2020, 2020 portion, total amount CHF1200,000 (7F-05289.06)",99701,"Switzerland, Government of",Government,CHE,2019,2019,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Government,Emergency Shelter and NFI,HTI,,,,2020,2020,financial,Standard,Traditional aid,incoming,single,commitment,2019-05-02,,Multiyear,100000.0,CHF,1.003,194648,7F-05289.06,2019-07-01,2019-07-01
2018-09-30,,"Réduction de risques de catastrophes naturelles dans le Sud et le Sud-est d'Haitii through SCO (Swiss Cooperation Office) Port-au-Prince, Multiyear 2018-2021, 2020 portion, total amount CHF 717,100 ( 7F-09540.02)",738517,"Switzerland, Government of",Government,CHE,2018,2018,,,,,,Coordination and support services,HTI,,,,2020,2020,financial,Standard,Traditional aid,incoming,single,commitment,2018-10-08,,Multiyear,717100.0,CHF,0.971,186814,7F-09540.02,2019-01-31,2019-01-31
2018-09-30,,"Réduction de risques de catastrophes naturelles dans le Sud et le Sud-est d'Haitii through SCO (Swiss Cooperation Office) Port-au-Prince, Multiyear 2018-2021, total amount CHF 2,059,120 ( 7F-09540.02)",0,"Switzerland, Government of",Government,CHE,2018,2018,,,,,,,HTI,,,,2018,2021,financial,Parked,Traditional aid,incoming,shared,commitment,2018-10-08,,Multiyear,0.0,CHF,0.971,186811,7F-09540.02,2019-01-31,2019-01-31
2018-08-31,,"HAT-CASC Cantines Scolaires Communautaires, Multiyear 2018-2020, 2020 portion,  total amount CHF 182,710 (7F-10113.01.01)",183813,"Switzerland, Government of",Government,CHE,2018,2018,,,,HEKS - Hilfswerk der Evangelischen Kirchen Schweiz,NGO,Education,HTI,,,,2020,2020,financial,Standard,Traditional aid,incoming,single,commitment,2018-09-03,,Multiyear,182710.0,CHF,0.994,180628,7F-10113.01.01,2018-09-25,2018-09-25
2018-08-31,,"HAT-CASC Cantines Scolaires Communautaires, Multiyear 2018-2020, total amount CHF 686,708 (7F-10113.01.01)",0,"Switzerland, Government of",Government,CHE,2018,2018,,,,HEKS - Hilfswerk der Evangelischen Kirchen Schweiz,NGO,,HTI,,,,2018,2020,financial,Parked,Traditional aid,incoming,shared,commitment,2018-09-03,,Multiyear,0.0,CHF,0.994,180625,7F-10113.01.01,2018-09-25,2018-09-25
2018-07-31,,"Projet d'appui à la reconstruction de l'habitat avec formation dans les sud (PARHAFS)  , Multiyear 2018-2021,2020 portion,  total amount CHF 509,160 (Z7FH14800016)",513784,"Switzerland, Government of",Government,CHE,2018,2018,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Government,Coordination and support services,HTI,,,,2020,2020,financial,Standard,Traditional aid,incoming,single,commitment,2018-08-03,,Multiyear,509160.0,CHF,0.991,179338,Z7FH14800016,2018-08-20,2018-08-20
2018-07-31,,"Projet d'appui à la reconstruction de l'habitat avec formation dans les sud (PARHAFS)  , Multiyear 2018-2021, 2020 portion,  total amount CHF 613,000 (Z7H314300049)",618567,"Switzerland, Government of",Government,CHE,2018,2018,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Government,Coordination and support services,HTI,,,,2020,2020,financial,Standard,Traditional aid,incoming,single,commitment,2018-08-03,,Multiyear,613000.0,CHF,0.991,179354,Z7H314300049,2018-08-20,2018-08-20
2018-07-31,,"Projet d'appui à la reconstruction de l'habitat avec formation dans les sud (PARHAFS)  , Multiyear 2018-2021, total amount CHF 1,846,500 (Z7H314300049)",0,"Switzerland, Government of",Government,CHE,2018,2018,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Government,,HTI,,,,2018,2021,financial,Parked,Traditional aid,incoming,shared,commitment,2018-08-03,,Multiyear,0.0,CHF,0.991,179351,Z7H314300049,2018-08-20,2018-08-20
2018-07-31,,"Projet d'appui à la reconstruction de l'habitat avec formation dans les sud (PARHAFS)  , Multiyear 2018-2021,2020 portion,  total amount CHF 1,232,600 (7F-09905.01.02)",1243794,"Switzerland, Government of",Government,CHE,2018,2018,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Government,Coordination and support services,HTI,,,,2020,2020,financial,Standard,Traditional aid,incoming,single,commitment,2018-08-03,,Multiyear,1232600.0,CHF,0.991,179349,7F-09905.01.02,2018-08-20,2018-08-20
2018-07-31,,"Projet d'appui à la reconstruction de l'habitat avec formation dans les sud (PARHAFS)  , Multiyear 2018-2021, total amount CHF 3,021,500 (7F-09905.01.02)",0,"Switzerland, Government of",Government,CHE,2018,2018,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Government,,HTI,,,,2018,2021,financial,Parked,Traditional aid,incoming,shared,commitment,2018-08-03,,Multiyear,0.0,CHF,0.991,179344,7F-09905.01.02,2018-08-20,2018-08-20
2018-07-31,,"Projet d'appui à la reconstruction de l'habitat avec formation dans les sud (PARHAFS)  , Multiyear 2018-2021, total amount CHF 1,476,480 (Z7FH14800016)",0,"Switzerland, Government of",Government,CHE,2018,2018,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Government,,HTI,,,,2018,2021,financial,Parked,Traditional aid,incoming,shared,commitment,2018-08-03,,Multiyear,0.0,CHF,0.991,179335,Z7FH14800016,2018-08-20,2018-08-20
